レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191223113,1-2-3,1-3-2,120,10,-100,-100,60,-100,270
191228153,1-2-3,1-2-5,0,0,120,130,20,-100,-100
191231165,1-2-3,1-2-5,120,0,180,60,70,-100,-100
191224117,1-2-3,1-5-2,110,0,-100,-100,50,-100,-100
191214121,1-2-3,2-4-3,-100,-100,-100,-100,-100,-100,-100
191206114,2-1-3,1-5-2,-100,-100,-100,-100,30,-100,-100
191205131,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
191226141,1-2-3,1-4-5,30,0,-100,-100,-100,-100,-100
191209104,1-2-3,4-2-3,-100,-100,-100,-100,-100,-100,-100
191209105,1-2-3,2-1-5,-100,0,-100,120,50,-100,-100
191228152,1-2-3,1-2-3,0,10,370,200,50,690,170
191205126,1-2-3,2-4-3,-100,-100,-100,-100,-100,-100,-100
191207108,1-2-3,4-2-1,-100,-100,-100,-100,40,-100,-100
191209106,1-2-3,1-3-2,50,40,-100,-100,0,-100,140
191205129,1-2-4,1-4-6,50,10,-100,-100,-100,-100,-100
191231164,1-3-2,6-5-1,-100,-100,-100,-100,-100,-100,-100
191209102,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
191227132,1-2-3,5-4-6,-100,-100,-100,-100,-100,-100,-100
191217109,2-1-3,2-1-3,180,60,980,230,80,2720,250
191225134,1-2-3,6-1-2,-100,40,-100,-100,170,-100,-100
191213101,1-2-3,1-2-3,100,0,1160,800,130,3060,1110
191216119,1-2-3,1-4-6,10,0,-100,-100,-100,-100,-100
191214127,1-2-3,1-3-5,30,10,-100,-100,-100,-100,-100
191214128,1-3-2,1-3-2,30,0,190,90,30,1150,430
191217112,2-1-4,1-2-5,-100,20,-100,280,60,-100,-100
191215125,1-2-3,2-1-6,-100,30,-100,180,60,-100,-100
191228145,1-2-3,1-5-3,200,10,-100,-100,-100,-100,-100
191218110,1-2-3,3-1-4,-100,40,-100,-100,-100,-100,-100
191223114,1-3-2,6-1-2,-100,0,-100,-100,-100,-100,-100
191223110,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
191218118,1-2-3,1-5-6,60,110,-100,-100,-100,-100,-100
191226134,1-2-3,1-4-6,40,0,-100,-100,-100,-100,-100
191228147,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
191226135,2-1-3,2-1-6,300,0,380,170,100,-100,-100
191207103,1-2-3,1-3-2,30,10,-100,-100,120,-100,860
191218117,1-2-3,1-3-2,40,10,-100,-100,70,-100,650
191215122,1-2-3,1-2-5,50,0,310,380,140,-100,-100
191208104,2-1-3,2-5-1,200,60,-100,-100,80,-100,-100
191205124,1-2-3,1-4-3,60,90,-100,-100,-100,-100,-100
191223119,1-2-3,1-3-4,20,0,-100,-100,-100,-100,-100
191217115,1-2-3,1-4-5,0,0,-100,-100,-100,-100,-100
191215121,2-1-3,2-3-1,90,50,-100,-100,90,-100,550
191215127,1-3-2,4-2-6,-100,-100,-100,-100,-100,-100,-100
191225133,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
191226140,1-2-3,1-2-5,10,0,140,150,40,-100,-100
191228154,1-2-3,1-3-2,40,0,-100,-100,70,-100,250
191218109,1-2-3,1-2-3,240,40,320,370,110,990,300
191227124,1-2-3,6-1-4,-100,260,-100,-100,-100,-100,-100
191226142,1-2-3,2-3-6,-100,-100,-100,-100,-100,-100,-100
191208106,1-3-2,2-5-1,-100,-100,-100,-100,-100,-100,-100
191217111,2-1-3,3-6-4,-100,-100,-100,-100,-100,-100,-100
19120797,1-2-3,4-2-5,-100,-100,-100,-100,-100,-100,-100
191208103,1-2-3,1-3-4,30,10,-100,-100,-100,-100,-100
191231159,1-2-3,3-1-6,-100,250,-100,-100,-100,-100,-100
191205121,1-2-3,1-4-3,30,0,-100,-100,-100,-100,-100
191224120,1-2-3,2-1-4,-100,0,-100,110,20,-100,-100
191205132,1-2-3,1-2-4,10,10,130,90,40,-100,-100
191218120,1-2-3,1-3-4,10,10,-100,-100,-100,-100,-100
19120798,1-2-3,1-3-6,30,60,-100,-100,-100,-100,-100
191225144,1-2-3,1-3-6,10,0,-100,-100,-100,-100,-100
191214124,2-1-3,1-3-4,-100,-100,-100,-100,-100,-100,-100
191216113,1-2-3,1-2-3,330,80,240,240,60,930,240
191215129,1-2-3,3-1-6,-100,60,-100,-100,-100,-100,-100
191205125,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
191207101,1-2-3,1-6-2,520,80,-100,-100,150,-100,-100
191231167,1-2-3,3-1-5,-100,0,-100,-100,-100,-100,-100
191207102,1-2-3,2-6-4,-100,-100,-100,-100,-100,-100,-100
19121397,1-2-3,1-3-2,160,0,-100,-100,160,-100,370
191228155,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
191224110,1-2-3,4-3-1,-100,-100,-100,-100,-100,-100,-100
191214132,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
191214130,1-2-3,1-2-3,60,30,180,90,20,900,350
19120999,2-1-3,2-3-6,200,30,-100,-100,-100,-100,-100
191210108,1-2-3,1-2-5,10,0,190,150,40,-100,-100
191207106,1-2-3,4-3-6,-100,-100,-100,-100,-100,-100,-100
191224109,1-2-3,1-3-2,180,0,-100,-100,90,-100,360
191223111,1-2-3,3-1-5,-100,50,-100,-100,-100,-100,-100
191227129,1-2-3,6-3-4,-100,-100,-100,-100,-100,-100,-100
