レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
200109111,1-2-4,5-1-3,-100,40,-100,-100,-100,-100,-100
200109115,2-1-4,4-3-1,-100,-100,-100,-100,-100,-100,-100
200109116,1-2-5,5-4-2,-100,-100,-100,-100,-100,-100,-100
200109114,1-3-2,4-2-6,-100,-100,-100,-100,-100,-100,-100
200109113,2-4-1,3-1-4,-100,-100,-100,-100,-100,-100,-100
200109112,1-2-4,1-5-4,30,20,-100,-100,-100,-100,-100
200109109,1-3-6,1-3-2,170,50,620,330,20,-100,-100
200109110,1-4-2,5-2-1,-100,-100,-100,-100,-100,-100,-100
200109117,1-2-5,2-6-1,-100,-100,-100,-100,120,-100,-100
200109118,3-1-2,2-1-5,-100,-100,-100,-100,-100,-100,-100
200109119,1-2-3,1-4-5,90,20,-100,-100,-100,-100,-100
200109120,1-3-4,4-2-1,-100,-100,-100,-100,-100,-100,-100
総レース数, 単勝, 複勝, 2連単, 2連複, 拡連複, 3連単, 3連複, 合計
12,-610,-670,-480,-770,-860,-1200,-1200,-5790
